customer_id,name,email,phone_number,address_line,city,state,zip_code,country,change_date
C03408,Eric Glover,haleybrown@hotmail.com,(338)197-0394,4073 Shannon Pine,North Grantfurt,NE,11261,Canada,2023-01-17
C03153,Sarah Turner,bennettangela@hotmail.com,878.003.4324x429,5517 Skinner Lane,Schroederport,WA,60598,Canada,2021-04-03
C04422,Cindy Mccarthy,boothsamuel@hernandez.net,+1-527-936-4657x134,425 Anderson Plains,New Jennifer,MI,77911,Canada,2021-04-29
C07080,Anna Hutchinson,awang@williams.info,(321)827-8097x0538,965 Fritz Club Apt. 117,Wisefurt,WI,94324,Canada,2022-05-31
C09441,Amanda Eaton,harristimothy@duarte-dickson.biz,001-180-550-3029x5993,55256 Bennett Corner Suite 780,Johnsonburgh,IN,25355,Canada,2022-10-08
C01127,Douglas Day,danielsoto@evans.com,622.319.4408,39241 Christopher Plain Suite 054,New Jose,NJ,33557,Canada,2021-01-09
C03455,Jennifer Burns,ballardjohn@hernandez.com,3595020962,6485 Herring Fort,Amandafort,IL,78671,Canada,2022-04-08
C04813,Jeanne Herrera,cobbmary@yahoo.com,001-313-261-7496x653,874 James Stream,South Nancyberg,WA,03838,Canada,2021-12-16
C02111,Alexander Young,millerrandy@hotmail.com,986-295-0774x8829,3246 Dorsey Wall,Port Andrea,NY,92304,Canada,2022-03-26
C06999,Grant Smith,jasoncooper@yahoo.com,+1-294-766-3170x1321,327 Butler Tunnel,New Sandraview,AZ,46581,Canada,2022-01-04
C06026,Rebecca Potter,raymondwright@yahoo.com,170-206-9828x0660,88336 Morton Avenue,New Rhondamouth,RI,92630,Canada,2021-09-05
C05479,Joseph Robinson,fwilliamson@hotmail.com,+1-859-171-4762,695 Gross Flat Apt. 360,Aliciaton,AK,63483,Canada,2022-12-20
C04200,Stacy Rivas,brenthart@wright-sanchez.com,291.339.6075,921 Eric Hill,North Kelseyshire,SD,92880,Canada,2021-07-16
C01965,Aaron Gomez,randalljeffrey@hotmail.com,001-125-007-3507x178,189 Traci Lodge,Tamarafurt,VA,83660,Canada,2022-10-21
C02044,Vincent Barajas Jr.,suarezkeith@gonzalez-montgomery.info,001-610-082-6473x28845,78317 Stacy Court Apt. 649,West Micheleburgh,SC,09328,Canada,2022-07-25
C08260,Natasha Johnson,raymondrichard@hotmail.com,634-351-5454x9195,4655 Alvarez Turnpike,Martinshire,TX,03847,Canada,2022-09-23
C08896,Terry Johnston,vbaker@martin.com,624.113.9403x044,380 Garcia Canyon Apt. 006,West Sherylland,MA,92496,Canada,2023-03-16
C04300,Ryan Edwards,beckmichael@yahoo.com,840-907-8826x5731,4412 Burke Knolls,Autumnton,WY,08299,Canada,2023-03-18
C01169,Nicholas Stone DDS,kevin92@gomez-flores.com,238.502.1627x257,188 Edwards Plain Suite 462,South Scott,NH,97187,Canada,2021-02-11
C06037,Cory Cobb,xtrevino@pugh.com,166-708-6450,0136 Sally Wells Suite 501,North Rebeccaport,TX,63052,Canada,2022-08-28
C07125,Ashley Alexander,fvilla@scott-marshall.com,7447348367,42115 Robin Ville Suite 675,Dustinborough,WY,99051,Canada,2023-06-18
